,0,1
0,Ka,"├── energy (keV) = 66.8311
└── weight = 1.0
"
1,Kb,"├── energy (keV) = 75.7494
└── weight = 0.15
"
2,La,"├── energy (keV) = 9.4421
└── weight = 1.0
"
3,Lb1,"├── energy (keV) = 11.0707
└── weight = 0.4088
"
4,Lb2,"├── energy (keV) = 11.2504
└── weight = 0.21829
"
5,Lb3,"├── energy (keV) = 11.2345
└── weight = 0.0783
"
6,Lb4,"├── energy (keV) = 10.8534
└── weight = 0.0662
"
7,Lg1,"├── energy (keV) = 12.9418
└── weight = 0.08448
"
8,Lg3,"├── energy (keV) = 13.3609
└── weight = 0.0218
"
9,Ll,"├── energy (keV) = 8.2677
└── weight = 0.0554
"
10,Ln,"├── energy (keV) = 9.9766
└── weight = 0.01399
"
11,M2N4,"├── energy (keV) = 2.6957
└── weight = 0.02901
"
12,M3O4,"├── energy (keV) = 2.63796
└── weight = 0.005
"
13,M3O5,"├── energy (keV) = 2.63927
└── weight = 0.01
"
14,Ma,"├── energy (keV) = 2.0505
└── weight = 1.0
"
15,Mb,"├── energy (keV) = 2.1276
└── weight = 0.59443
"
16,Mg,"├── energy (keV) = 2.3321
└── weight = 0.08505
"
17,Mz,"├── energy (keV) = 1.6026
└── weight = 0.01344
"
